iteration no.; 0; x coordinate; y coordinate; 
Particle no.; 15;  6.82268; 2.74609;
Particle no.; 16;  7; 2.09537;
Particle no.; 17;  3.131; 1.51567;
Particle no.; 18;  3.13844; 4.31067;
Particle no.; 19;  2.9952; 3.47005;
Particle no.; 20;  3.06721; 4.33698;
Particle no.; 21;  5.82719; 0;
Particle no.; 22;  0; 7;
Particle no.; 23;  1.70412; 6.10964;
Particle no.; 24;  1.02272; 3.39146;
Particle no.; 25;  2.55935; 4.6885;
Particle no.; 26;  5.89515; 4.22328;
Particle no.; 27;  1.67106; 2.192;
Particle no.; 28;  0.0322497; 4.87424;
Particle no.; 29;  3.01391; 4.64483;
Particle no.; 30;  4.01805; 2.5333;
Particle no.; 31;  6.31929; 2.0305;
